iter	Passed	Remaining
413	3230	4573
414	3237	4563
415	3243	4553
416	3252	4547
417	3258	4536
418	3266	4529
419	3273	4520
420	3281	4513
421	3288	4504
422	3296	4496
423	3303	4487
424	3311	4479
425	3318	4470
426	3324	4461
427	3331	4452
428	3336	4441
429	3342	4430
430	3348	4420
431	3353	4408
432	3358	4398
433	3365	4388
434	3369	4376
435	3376	4367
436	3381	4356
437	3386	4345
438	3393	4336
439	3398	4325
440	3403	4314
441	3410	4305
442	3415	4294
443	3420	4283
444	3428	4276
445	3435	4267
446	3444	4261
447	3457	4259
448	3463	4250
449	3470	4241
450	3481	4237
451	3487	4228
452	3495	4220
453	3501	4211
454	3510	4204
455	3516	4195
456	3524	4188
457	3531	4179
458	3539	4171
459	3546	4162
460	3554	4155
461	3560	4146
462	3567	4137
463	3575	4130
464	3582	4121
465	3598	4123
466	3616	4127
467	3632	4129
468	3653	4136
469	3668	4137
470	3685	4139
471	3703	4143
472	3712	4136
473	3726	4135
474	3738	4131
475	3743	4120
476	3749	4110
477	3756	4101
478	3761	4091
479	3768	4082
480	3773	4071
481	3778	4060
482	3787	4053
483	3793	4044
484	3802	4037
485	3809	4029
486	3819	4023
487	3826	4014
488	3836	4009
489	3846	4003
490	3853	3995
491	3860	3985
492	3869	3979
493	3876	3970
494	3885	3963
495	3891	3954
496	3900	3947
497	3906	3938
498	3914	3930
499	3921	3921
500	3929	3914
501	3935	3904
502	3943	3895
503	3950	3888
504	3957	3879
505	3968	3874
506	3978	3869
507	3985	3860
508	3990	3849
509	3997	3840
510	4002	3829
511	4008	3820
512	4013	3809
513	4019	3800
514	4025	3791
515	4030	3780
516	4035	3770
517	4042	3761
518	4047	3751
519	4052	3740
520	4059	3731
521	4064	3721
522	4069	3711
523	4076	3703
524	4081	3693
525	4088	3683
526	4093	3673
527	4098	3663
528	4105	3654
529	4109	3644
530	4114	3634
531	4121	3625
532	4126	3615
533	4131	3605
534	4139	3597
535	4144	3587
536	4149	3577
537	4156	3569
538	4161	3559
539	4166	3549
540	4172	3540
541	4177	3530
542	4183	3521
543	4188	3511
544	4193	3501
545	4199	3491
546	4205	3482
547	4209	3472
548	4215	3462
549	4220	3453
550	4225	3443
551	4231	3434
552	4238	3426
553	4244	3417
554	4255	3411
555	4261	3402
556	4269	3395
557	4275	3386
558	4283	3379
559	4289	3370
560	4296	3362
561	4303	3353
562	4309	3345
563	4318	3338
564	4324	3329
565	4332	3322
566	4339	3313
567	4347	3306
568	4353	3297
569	4359	3288
570	4367	3281
571	4373	3272
572	4381	3264
573	4388	3256
574	4395	3249
575	4400	3239
576	4405	3229
577	4412	3221
578	4417	3211
579	4422	3202
580	4428	3193
581	4433	3184
582	4438	3174
583	4444	3166
584	4449	3156
585	4454	3147
586	4461	3139
587	4468	3130
588	4475	3123
589	4480	3113
590	4485	3104
591	4492	3095
592	4496	3086
593	4501	3077
594	4508	3068
595	4513	3059
596	4518	3049
597	4524	3041
598	4529	3032
599	4534	3023
600	4541	3014
601	4546	3005
602	4550	2996
603	4557	2987
604	4562	2978
605	4567	2969
606	4574	2961
607	4579	2952
608	4584	2943
609	4590	2934
610	4595	2925
611	4601	2917
612	4606	2908
613	4611	2899
614	4618	2890
615	4622	2881
616	4627	2872
617	4634	2864
618	4641	2856
619	4646	2847
620	4653	2839
621	4658	2830
622	4663	2822
623	4670	2814
624	4675	2805
625	4682	2797
626	4688	2788
627	4693	2780
628	4700	2772
629	4705	2763
630	4710	2754
631	4716	2746
632	4721	2737
633	4726	2728
634	4733	2720
635	4738	2711
636	4743	2703
637	4750	2695
638	4754	2686
639	4759	2677
640	4766	2669
641	4771	2660
642	4778	2652
643	4784	2644
644	4789	2635
645	4795	2627
646	4800	2619
647	4805	2610
648	4811	2602
649	4816	2593
650	4821	2584
651	4827	2576
652	4832	2567
653	4837	2559
654	4844	2551
655	4848	2542
656	4853	2534
657	4860	2526
658	4865	2517
659	4870	2509
660	4877	2501
661	4882	2492
662	4886	2483
663	4893	2476
664	4898	2467
665	4902	2458
666	4908	2450
667	4913	2442
668	4918	2433
669	4925	2426
670	4930	2417
671	4935	2408
672	4941	2401
673	4946	2392
674	4951	2383
675	4958	2376
676	4965	2368
677	4973	2362
678	4978	2353
679	4983	2345
680	4990	2337
681	4995	2329
682	5000	2320
683	5005	2312
684	5010	2304
685	5015	2295
686	5021	2288
687	5026	2279
688	5031	2271
689	5040	2264
690	5044	2256
691	5050	2247
692	5055	2239
693	5060	2231
694	5065	2223
695	5071	2215
696	5076	2206
697	5081	2198
698	5087	2190
699	5092	2182
700	5097	2174
701	5102	2166
702	5107	2157
703	5112	2149
704	5119	2142
705	5124	2134
706	5129	2125
707	5135	2117
708	5140	2109
709	5145	2101
710	5151	2093
711	5155	2085
712	5160	2077
713	5166	2069
714	5171	2061
715	5176	2053
716	5183	2046
717	5188	2037
718	5193	2029
719	5198	2021
720	5203	2013
721	5208	2005
722	5215	1998
723	5219	1989
724	5224	1981
725	5230	1974
726	5235	1966
727	5240	1957
728	5246	1950
729	5251	1942
730	5256	1934
731	5262	1926
732	5267	1918
733	5271	1910
734	5278	1902
735	5282	1894
736	5287	1886
737	5293	1879
738	5298	1871
739	5302	1863
740	5308	1855
741	5313	1847
742	5318	1839
743	5325	1832
744	5329	1824
745	5334	1816
746	5340	1808
747	5345	1800
748	5350	1792
749	5356	1785
750	5361	1777
751	5366	1769
752	5371	1761
753	5376	1754
754	5381	1746
755	5385	1738
756	5391	1730
757	5395	1722
758	5400	1714
759	5406	1707
760	5411	1699
761	5415	1691
762	5422	1684
763	5428	1676
764	5433	1668
765	5439	1661
766	5444	1653
767	5448	1645
768	5455	1638
769	5461	1631
770	5469	1624
771	5473	1616
772	5478	1608
773	5483	1601
774	5488	1593
775	5493	1585
776	5498	1578
777	5504	1570
778	5508	1562
779	5513	1555
780	5519	1547
781	5524	1540
782	5529	1532
783	5535	1525
784	5540	1517
785	5545	1509
786	5551	1502
787	5556	1494
788	5560	1487
789	5568	1480
790	5574	1472
791	5579	1465
792	5583	1457
793	5588	1449
794	5593	1442
795	5599	1435
796	5604	1427
797	5608	1419
798	5616	1412
799	5622	1405
800	5630	1398
801	5636	1391
802	5642	1384
803	5650	1377
804	5657	1370
805	5666	1363
806	5671	1356
807	5676	1348
808	5681	1341
809	5686	1333
810	5691	1326
811	5698	1319
812	5703	1311
813	5708	1304
814	5714	1297
815	5718	1289
816	5723	1282
817	5730	1274
818	5735	1267
819	5741	1260
820	5747	1253
821	5751	1245
822	5758	1238
823	5763	1230
824	5767	1223
825	5773	1216
826	5777	1208
827	5782	1201
828	5787	1193
829	5793	1186
830	5798	1179
831	5802	1171
832	5810	1164
833	5815	1157
834	5819	1150
835	5825	1142
836	5830	1135
837	5835	1128
838	5841	1120
839	5846	1113
840	5851	1106
841	5857	1099
842	5862	1091
843	5866	1084
844	5872	1077
845	5877	1069
846	5882	1062
847	5888	1055
848	5893	1048
849	5898	1040
850	5905	1033
851	5909	1026
852	5914	1019
853	5920	1012
854	5925	1004
855	5930	997
856	5936	990
857	5941	983
858	5946	976
859	5954	969
860	5960	962
861	5967	955
862	5971	948
863	5976	940
864	5981	933
865	5986	926
866	5991	919
867	5996	911
868	6002	904
869	6007	897
870	6011	890
871	6017	883
872	6022	876
873	6026	868
874	6033	861
875	6037	854
876	6041	847
877	6048	840
878	6052	833
879	6057	825
880	6062	818
881	6066	811
882	6071	804
883	6075	797
884	6081	790
885	6086	783
886	6090	775
887	6098	769
888	6102	761
889	6107	754
890	6113	747
891	6118	740
892	6123	733
893	6129	726
894	6134	719
895	6138	712
896	6145	705
897	6149	698
898	6154	691
899	6160	684
900	6164	677
901	6169	670
902	6176	663
903	6180	656
904	6185	649
905	6190	642
906	6197	635
907	6201	628
908	6207	621
909	6212	614
910	6216	607
911	6221	600
912	6227	593
913	6231	586
914	6236	579
915	6242	572
916	6247	565
917	6251	558
918	6257	551
919	6262	544
920	6266	537
921	6272	530
922	6277	523
923	6281	516
924	6287	509
925	6292	502
926	6296	495
927	6301	488
928	6306	482
929	6311	475
930	6316	468
931	6322	461
932	6326	454
933	6331	447
934	6337	440
935	6342	433
936	6347	426
937	6352	419
938	6357	412
939	6361	406
940	6366	399
941	6372	392
942	6376	385
943	6381	378
944	6387	371
945	6391	364
946	6396	357
947	6402	351
948	6406	344
949	6411	337
950	6417	330
951	6421	323
952	6426	316
953	6432	310
954	6437	303
955	6442	296
956	6447	289
957	6451	282
958	6456	276
959	6460	269
960	6468	262
961	6474	255
962	6480	248
963	6485	242
964	6489	235
965	6493	228
966	6499	221
967	6504	215
968	6508	208
969	6515	201
970	6519	194
971	6523	187
972	6530	181
973	6534	174
974	6539	167
975	6546	160
976	6550	154
977	6555	147
978	6561	140
979	6565	133
980	6570	127
981	6575	120
982	6582	113
983	6586	107
984	6592	100
985	6597	93
986	6603	86
987	6739	81
988	6745	75
989	6751	68
990	6759	61
991	6766	54
992	6773	47
993	6779	40
994	6785	34
995	6791	27
996	6796	20
997	6801	13
998	6808	6
999	6813	0
