iter	RMSE
0	1634.41205
1	1599.260433
2	1563.649598
3	1528.165665
4	1494.381506
5	1461.656988
6	1430.174817
7	1400.179864
8	1372.300507
9	1345.162374
10	1317.936401
11	1293.070703
12	1267.090664
13	1242.127394
14	1218.641088
15	1194.392227
16	1171.312533
17	1150.11889
18	1127.43305
19	1107.21053
20	1087.030162
21	1067.594413
22	1048.377986
23	1030.316396
24	1013.705938
25	997.1536318
26	980.1687862
27	964.8895266
28	950.0855965
29	936.7309458
30	922.9075078
31	909.4714275
32	896.6208152
33	884.1440712
34	870.8261741
35	858.2985491
36	845.5140369
37	834.1345079
38	823.4893719
39	813.0092214
40	801.6891188
41	791.6534409
42	782.4996356
43	773.5480264
44	763.7962815
45	755.4028272
46	747.3883913
47	739.4582253
48	732.1387779
49	724.8962325
50	717.292226
51	710.3849526
52	703.545626
53	697.7395079
54	691.3053361
55	685.6799589
56	678.8949383
57	673.3664637
58	667.6190905
59	662.1841665
60	656.986391
61	652.0805712
62	647.6331952
63	643.1137333
64	638.1726664
65	634.0047428
66	628.7556149
67	625.233135
68	621.3532765
69	617.2973904
70	614.0991772
71	610.0049883
72	606.8543226
73	603.7215133
74	600.4568396
75	596.7947777
76	593.6640424
77	590.3771431
78	587.1622418
79	584.2400524
80	581.7624178
81	579.3594613
82	576.4006656
83	573.9325222
84	571.3334261
85	568.7550784
86	566.2010355
87	563.5154806
88	561.0303856
89	557.9154126
90	556.3245786
91	554.2028121
92	552.4254599
93	550.8210651
94	549.108366
95	547.144207
96	545.289029
97	543.2638435
98	540.7458047
99	538.5261679
100	536.2640643
101	534.6723344
102	532.9244772
103	530.6646137
104	529.0382378
105	527.3498879
106	525.9267553
107	524.4369512
108	523.050166
109	521.5785706
110	520.3656386
111	519.388106
112	516.5706774
113	515.5933529
114	514.2180931
115	513.1090003
116	511.55805
117	509.8551889
118	508.1145559
119	505.7166531
120	504.0523733
121	502.4037662
122	500.7847053
123	499.5610427
124	497.8468419
125	495.8678416
126	494.4608268
127	493.2127667
128	491.7162351
129	490.6136473
130	489.2522443
131	487.6821044
132	486.1495383
133	485.0051641
134	483.2542558
135	481.8131139
136	481.10683
137	480.314539
138	478.8990357
139	478.0794574
140	477.0284836
141	475.8862952
142	474.8443139
143	473.8718642
144	472.7413996
145	471.6555467
146	470.3093774
147	469.0031639
148	467.7850888
149	466.7868526
150	465.2526796
151	463.8875584
152	463.1763678
153	462.1427393
154	461.4820413
155	460.0374426
156	458.7361478
157	457.8140668
158	456.7953773
159	455.7676796
160	454.8815603
161	454.176337
162	452.9216327
163	451.5463907
164	451.1690468
165	449.7053446
166	448.8272707
167	447.845777
168	446.9129182
169	445.897942
170	444.4617378
171	443.5905212
172	442.9868717
173	441.7988061
174	441.0561617
175	440.395644
176	439.3774506
177	438.7384046
178	437.8641238
179	436.8879758
180	436.2641316
181	435.6993693
182	434.8722375
183	433.7306645
184	432.6084707
185	432.4531616
186	431.3356557
187	429.9294694
188	428.7445531
189	427.5461299
190	426.5838752
191	425.9525239
192	424.7273678
193	423.7261306
194	422.7016478
195	421.6172761
196	420.9974975
197	419.8394491
198	419.4466417
199	418.4860499
200	417.3605388
201	416.598698
202	415.9994965
203	415.248541
204	414.6485307
205	413.9962799
206	412.9146768
207	412.27716
208	411.266878
209	410.928299
210	410.2342512
211	409.1599961
212	408.2091282
213	407.049967
214	406.2397165
215	405.2304887
216	404.9684312
217	404.2032951
218	403.8688768
219	403.0888514
220	402.2319136
221	401.2397798
222	400.2989551
223	399.7090277
224	398.896222
225	398.4282487
226	397.3223898
227	396.4301721
228	395.4137751
229	394.4172504
230	393.1545705
231	392.1824891
232	391.2238002
233	390.3069983
234	389.6918519
235	388.944579
236	388.1446053
237	387.7113422
238	386.5972541
239	385.617904
240	384.5628055
241	383.6011325
242	382.7347485
243	382.1945031
244	381.5469766
245	380.6927745
246	380.1238496
247	379.3155397
248	378.0319505
249	377.1403705
250	376.0474364
251	375.052799
252	374.3318299
253	373.4258888
254	372.5490451
255	371.9499778
256	370.9755161
257	369.9318449
258	369.1920618
259	368.3917147
260	367.4781288
261	366.6968068
262	366.1135095
263	365.5837996
264	365.0816767
265	364.3782943
266	363.1127462
267	362.652595
268	362.2627284
269	361.3633592
270	360.5553117
271	360.0712279
272	359.1843634
273	358.3519352
274	357.9798315
275	357.6672753
276	356.7618051
277	355.9024581
278	354.8889278
279	354.1764295
280	353.6921454
281	352.7386863
282	352.1151079
283	351.1182636
284	350.4173436
285	349.4941695
286	348.7254916
287	348.0919092
288	347.3815702
289	346.7250138
290	345.8320214
291	345.0442033
292	343.9970843
293	342.728422
294	342.1716338
295	341.4944429
296	340.9895487
297	340.3898059
298	339.3870442
299	339.1339383
300	338.1066007
301	337.4430517
302	336.794503
303	335.9988705
304	335.4210992
305	334.722225
306	333.7370182
307	332.9713241
308	332.5447642
309	331.8796458
310	331.5810925
311	331.1856614
312	330.1227217
313	329.5108178
314	328.3190401
315	327.6838698
316	327.4239821
317	326.63877
318	326.3085835
319	326.0271237
320	325.4853432
321	325.0569252
322	324.051053
323	323.877512
324	323.5818182
325	323.2109478
326	322.2776144
327	321.3415391
328	320.8891254
329	320.5808971
330	320.0653966
331	319.3008104
332	318.4999688
333	317.7392968
334	316.7755036
335	315.7377681
336	315.0162957
337	313.9174031
338	313.3030176
339	312.6129341
340	311.9327417
341	311.6746338
342	310.6874677
343	310.1876547
344	309.6523139
345	309.2362059
346	308.8947228
347	308.0230047
348	307.7603133
349	307.606748
350	306.7787625
351	306.6154709
352	305.7500488
353	305.01688
354	304.3992814
355	304.1557313
356	303.8316156
357	303.0977061
358	302.425352
359	301.5174566
360	300.8066263
361	300.0767774
362	299.5245354
363	298.8058223
364	298.2655333
365	297.9032979
366	297.1152934
367	296.4366888
368	296.1969337
369	295.4309721
370	294.8640846
371	294.0050901
372	293.2742282
373	292.8827234
374	292.6022828
375	292.0165283
376	291.1672349
377	290.7074145
378	289.9642012
379	289.515704
380	289.187895
381	288.7171648
382	288.1608372
383	287.9707662
384	287.4839075
385	286.9575961
386	286.6273051
387	286.1510279
388	285.8265957
389	284.9906521
390	284.1437092
391	283.4909183
392	282.7614254
393	282.1583021
394	281.8571011
395	281.5133967
396	280.7729374
397	280.3713548
398	279.9232189
399	279.4648819
400	279.0407164
401	278.4479165
402	278.1671893
403	277.8352146
404	277.1291889
405	276.3026064
406	275.6651687
407	274.9811002
408	274.7344652
409	274.4747209
410	274.3859723
411	273.896601
412	273.4900144
413	273.3028159
414	273.1186749
415	272.9500836
416	272.4241606
417	271.741458
418	271.333247
419	270.9626195
420	270.742548
421	270.0807438
422	269.5603745
423	269.1254769
424	268.5235444
425	267.848827
426	267.3384762
427	266.8162609
428	266.4894419
429	265.8998082
430	265.6981933
431	265.011893
432	264.4610011
433	263.7513516
434	263.4546156
435	263.0827317
436	262.3547092
437	261.7663965
438	261.1694638
439	260.6845668
440	259.9799697
441	259.4685382
442	259.0781745
443	258.6585052
444	258.198928
445	257.8238987
446	257.4156544
447	256.7375077
448	256.2967618
449	255.8614289
450	255.6878164
451	255.1953831
452	255.0332707
453	254.8196008
454	254.3187773
455	253.8041574
456	253.3476621
457	253.0446058
458	252.5944532
459	252.1280685
460	251.5024592
